model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
pcfg,gmail,all-12-100-80,500000000,r2,61158532,12.23
pcfg,gmail,all-12-100-80,500000000,r3,0,0.0
pcfg,gmail,all-12-100-80,500000000,r4,433982,0.09
pcfg,gmail,all-12-100-80,500000000,r5,1585,0.0
pcfg,gmail,all-12-100-80,500000000,r6,423746633,84.75
pcfg,gmail,all-12-100-80,500000000,r7,7747749,1.55
pcfg,gmail,all-12-100-80,500000000,r8,2474869,0.49
pcfg,gmail,all-12-100-80,500000000,r9,4436650,0.89
pcfg,gmail,all-12-100-80,500000000,r10,332254674,66.45
pcfg,gmail,all-12-100-80,500000000,r11,7418996,1.48
pcfg,gmail,all-12-100-80,500000000,r12,8782856,1.76
pcfg,gmail,all-12-100-80,500000000,r13,2072524,0.41
pcfg,gmail,all-12-100-80,500000000,r14,10349851,2.07
pcfg,gmail,all-12-100-80,500000000,r15,317723,0.06
pcfg,gmail,all-12-100-80,500000000,r16,184208,0.04
pcfg,gmail,all-12-100-80,500000000,r17,270893,0.05
pcfg,gmail,all-12-100-80,500000000,r18,0,0.0
pcfg,gmail,all-12-100-80,500000000,r19,43865853,8.77
pcfg,libero,all-12-100-80,500000000,r1,62972468,12.59
pcfg,libero,all-12-100-80,500000000,r2,43949683,8.79
pcfg,libero,all-12-100-80,500000000,r3,246202,0.05
pcfg,libero,all-12-100-80,500000000,r4,61543,0.01
pcfg,libero,all-12-100-80,500000000,r5,13,0.0
pcfg,libero,all-12-100-80,500000000,r6,399890795,79.98
pcfg,libero,all-12-100-80,500000000,r7,8877112,1.78
pcfg,libero,all-12-100-80,500000000,r8,1521361,0.3
pcfg,libero,all-12-100-80,500000000,r9,26676708,5.34
pcfg,libero,all-12-100-80,500000000,r10,262380462,52.48
pcfg,libero,all-12-100-80,500000000,r11,12382082,2.48
pcfg,libero,all-12-100-80,500000000,r12,2831483,0.57
pcfg,libero,all-12-100-80,500000000,r13,1409245,0.28
pcfg,libero,all-12-100-80,500000000,r14,52123376,10.42
pcfg,libero,all-12-100-80,500000000,r15,569226,0.11
pcfg,libero,all-12-100-80,500000000,r16,1069642,0.21
pcfg,libero,all-12-100-80,500000000,r17,628639,0.13
pcfg,libero,all-12-100-80,500000000,r18,1760958,0.35
pcfg,libero,all-12-100-80,500000000,r19,39463859,7.89
pcfg,ashleymadison,all-12-100-80,500000000,r1,61327789,12.27
pcfg,ashleymadison,all-12-100-80,500000000,r2,51637916,10.33
pcfg,ashleymadison,all-12-100-80,500000000,r3,146923,0.03
pcfg,ashleymadison,all-12-100-80,500000000,r4,50359,0.01
pcfg,ashleymadison,all-12-100-80,500000000,r5,40,0.0
pcfg,ashleymadison,all-12-100-80,500000000,r6,435814388,87.16
pcfg,ashleymadison,all-12-100-80,500000000,r7,1368689,0.27
pcfg,ashleymadison,all-12-100-80,500000000,r8,221770,0.04
pcfg,ashleymadison,all-12-100-80,500000000,r9,1216965,0.24
pcfg,ashleymadison,all-12-100-80,500000000,r10,303022983,60.6
pcfg,ashleymadison,all-12-100-80,500000000,r11,1384279,0.28
pcfg,ashleymadison,all-12-100-80,500000000,r12,3230868,0.65
pcfg,ashleymadison,all-12-100-80,500000000,r13,167626,0.03
pcfg,ashleymadison,all-12-100-80,500000000,r14,14180113,2.84
pcfg,ashleymadison,all-12-100-80,500000000,r15,75521,0.02
pcfg,ashleymadison,all-12-100-80,500000000,r16,39856,0.01
pcfg,ashleymadison,all-12-100-80,500000000,r17,54963,0.01
pcfg,ashleymadison,all-12-100-80,500000000,r18,300473,0.06
pcfg,ashleymadison,all-12-100-80,500000000,r19,40530885,8.11
pcfg,taobao,all-12-100-80,500000000,r1,22782928,4.56
pcfg,taobao,all-12-100-80,500000000,r2,19696896,3.94
