model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,75000000,212204,31.62%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,100000000,219299,32.67%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,250000000,245829,36.63%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,500000000,264017,39.34%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,1000000,21137,25.37%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,2500000,23999,28.8%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,5000000,25683,30.82%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,7500000,26657,31.99%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,10000000,27341,32.81%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,25000000,29555,35.47%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,50000000,30903,37.09%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,75000000,31583,37.9%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,100000000,32086,38.51%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,250000000,33397,40.08%
pcfg,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,500000000,34273,41.13%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,1000000,165382,1.91%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,2500000,207043,2.39%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,5000000,278650,3.21%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,7500000,518595,5.97%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,10000000,678901,7.82%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,25000000,1340158,15.44%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,50000000,1777773,20.48%
