model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
omen,libero,all-12-100-80,500000000,r11,865,78,9.02
omen,libero,all-12-100-80,500000000,r12,272,30,11.03
omen,libero,all-12-100-80,500000000,r13,100,10,10.0
omen,libero,all-12-100-80,500000000,r14,17276,9116,52.77
omen,libero,all-12-100-80,500000000,r15,17,0,0.0
omen,libero,all-12-100-80,500000000,r16,108,1,0.93
omen,libero,all-12-100-80,500000000,r17,76,0,0.0
omen,libero,all-12-100-80,500000000,r18,276,20,7.25
omen,libero,all-12-100-80,500000000,r19,7552,3539,46.86
omen,ashleymadison,all-12-100-80,500000000,r1,25948,13475,51.93
omen,ashleymadison,all-12-100-80,500000000,r2,24626,13343,54.18
omen,ashleymadison,all-12-100-80,500000000,r3,713,56,7.85
omen,ashleymadison,all-12-100-80,500000000,r4,9273,7806,84.18
omen,ashleymadison,all-12-100-80,500000000,r5,1,1,100.0
omen,ashleymadison,all-12-100-80,500000000,r6,38793,14773,38.08
omen,ashleymadison,all-12-100-80,500000000,r7,76,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r8,19,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r9,210,1,0.48
omen,ashleymadison,all-12-100-80,500000000,r10,31045,13815,44.5
omen,ashleymadison,all-12-100-80,500000000,r11,73,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r12,818,220,26.89
omen,ashleymadison,all-12-100-80,500000000,r13,14,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r14,10122,7899,78.04
omen,ashleymadison,all-12-100-80,500000000,r15,2,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r16,10,1,10.0
omen,ashleymadison,all-12-100-80,500000000,r17,10,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r18,30,0,0.0
omen,ashleymadison,all-12-100-80,500000000,r19,7638,4240,55.51
